NOMBRE_CONJUNTO;TIPO_BIEN;PRECIO;LOCALIZACIÓN;FECHA_PUBLICACIÓN;ÁREA m²;NUM_HABITACIONES;NOMBRE_PROYECTO
Residencias Araguaney;Casa; 71100;Mitad Del Mundo, Norte De Quito;17/febrero/2020;87;3;VIP
Casantos;Casa; 77990;La Armenia I, Conocoto, Valle Los Chillos;05/marzo/2020;134;3;Proyecto inmobiliario
Conjunto Armenia Gardens;Casa; 119817;Puente 3, La Armenia I, Conocoto, Valle Los Chillos;02/diciembre/2019;123;3;Proyecto inmobiliario
El Retablo;Casa; 180000;Valle Tumbaco;29/octubre/2019;172;3;Proyecto inmobiliario
Conjunto Residencial Campo Grande;Departamentos; 130000;Tumbaco, Valle Tumbaco;06/septiembre/2019;123;3;Proyecto inmobiliario
Cumbres Del Condado;Lote; 24500;El Condado, Norte De Quito;12/diciembre/2019;;;VIP
Al Parque Casas Y Jardínes;Casa; 214000;Tumbaco, Valle Tumbaco;02/abril/2020;235;3;Proyecto inmobiliario
Seis Suites: Departamentos. Suite Precio Desde:;Departamentos; 58354;La Carolina, Iñaquito, Centro Norte;08/abril/2020;35;1;Proyecto inmobiliario
Casa Club Pinsaqui;Departamentos; 69500;Quitumbe, Sur De Quito;13/febrero/2020;;3;VIP
La Cayetana;Casa; 110036;Valle Tumbaco;16/enero/2020;89;3;Proyecto inmobiliario
Bönn: Departamentos. Suite;Departamentos; 94475;Granda Centeno, Rumipamba, Centro Norte;03/marzo/2020;65;1;Proyecto inmobiliario
Versailles;Departamentos; 100000;Cumbaya, Valle Tumbaco;06/enero/2020;87;1;Proyecto inmobiliario
Docamar;Departamentos; 124400;Amagasi Del Inca, Norte De Quito;07/abril/2020;101;3;Proyecto inmobiliario
Calma;Casa; 72990;Llano Chico, Norte De Quito;18/marzo/2020;83;3;VIP
Treviso;Casa; 74850;La Armenia I, Conocoto, Valle Los Chillos;02/marzo/2020;;3;Proyecto inmobiliario
Terrenos Prados Del Este, San Rafael;Lote; 74900;Valle Los Chillos;10/marzo/2020;;;Proyecto inmobiliario
Saint Mathew: Departamentos. Suite Suite Patio De 20 M2 Precio Promocional;Departamentos; 81000;Iñaquito Alto, Rumipamba, Centro Norte;12/septiembre/2019;45;1;Proyecto inmobiliario
Paseo De Los Algarrobos;Lote; 19200;Guayllabamba, Norte De Quito;21/febrero/2020;;;Proyecto inmobiliario
Conjunto Lucía;Casa; 202356;Norte De Quito;03/marzo/2020;159;3;Proyecto inmobiliario
Guetti;Departamentos; 233557;Granda Centeno, Rumipamba, Centro Norte;11/febrero/2020;130;3;Proyecto inmobiliario
Amahru: Loft / Estudio. Estudio No. 407. + Bodega;Loft / Estudio; 86661;Colinas Del Pichincha, Rumipamba, Centro Norte;11/febrero/2020;49;1;Proyecto inmobiliario
Conjunto La Quinta;Casa; 120000;Valle Los Chillos;10/enero/2020;135;3;Proyecto inmobiliario
Casal Robles;Departamentos; 79335;Mariscal Sucre, Centro Norte;23/marzo/2020;44;1;Proyecto inmobiliario
Ph Luxury Apartments;Departamentos; 182196;Gonzalez Suarez, Iñaquito, Centro Norte;28/enero/2020;93;2;Proyecto inmobiliario
Vessant;Casa; 367000;Cumbaya, Valle Tumbaco;30/septiembre/2019;244;3;Proyecto inmobiliario
Conjunto Residencial Campo Grande;Casa; 180000;Tumbaco, Valle Tumbaco;06/septiembre/2019;163;3;Proyecto inmobiliario
Valle Cartago;Casa; 137500;La Armenia I, Conocoto, Valle Los Chillos;02/marzo/2020;;3;Proyecto inmobiliario
Killari;Departamentos; 127670;Monteserrin, Jipijapa, Centro Norte;04/febrero/2020;86;2;Proyecto inmobiliario
Edificio Toquilla: Departamentos. Suite Torre A. Dptos 201,301 Y 401 + Incluye Bodega Y Terraza De 7,45m2;Departamentos; 73304;Monteserrin, Jipijapa, Centro Norte;13/enero/2020;42;1;Proyecto inmobiliario
Belorizonte 3;Departamentos; 69000;Ponceano, Norte De Quito;25/octubre/2019;59;1;Proyecto inmobiliario
Edificio Estrella VIII;Departamentos; 164927;La Carolina, Iñaquito, Centro Norte;30/marzo/2020;142;3;Proyecto inmobiliario
Torre Borealis;Local; 88430;El Bosque, Cochapamba, Centro Norte;19/marzo/2020;;;Proyecto inmobiliario
Monticello;Departamentos; 198646;Nayon - Tanda, Valle Tumbaco;18/marzo/2020;155;3;Proyecto inmobiliario
Auki;Departamentos; 182650;Cumbaya, Valle Tumbaco;03/marzo/2020;124;3;Proyecto inmobiliario
Mirador Del Valle;Departamentos; 66700;La Armenia I, Conocoto, Valle Los Chillos;02/marzo/2020;;3;Proyecto inmobiliario
Faz Homes;Local; 81260;Granda Centeno, Rumipamba, Centro Norte;04/febrero/2020;;;Proyecto inmobiliario
Casal Robles;Local; 94321;Mariscal Sucre, Centro Norte;23/marzo/2020;;;Proyecto inmobiliario
Porton De Malaga 2;Casa; 74500;Pomasqui, Norte De Quito;13/febrero/2020;;3;VIP
Edificio Toquilla;Local; 69210;Monteserrin, Jipijapa, Centro Norte;13/enero/2020;;;Proyecto inmobiliario
Faz Homes;Departamentos; 106758;Granda Centeno, Rumipamba, Centro Norte;04/febrero/2020;;;Proyecto inmobiliario
Edificio Estrella VIII;Oficina / Consultorio; 228532;La Carolina, Iñaquito, Centro Norte;30/marzo/2020;;;Proyecto inmobiliario
Zagaleta;Lote; 208000;Puembo, Valle Tumbaco;07/abril/2020;;;Proyecto inmobiliario
Portal Del Lago;Casa; 135575;La Armenia Ii, Conocoto, Valle Los Chillos;19/febrero/2020;123;3;Proyecto inmobiliario
Porton De Malaga 2;Departamentos; 69000;Pomasqui, Norte De Quito;13/febrero/2020;;3;VIP
Edificio David;Departamentos; 134000;El Condado, Norte De Quito;26/febrero/2020;;3;Proyecto inmobiliario
Edge: Departamentos. Suite Suite + Balcón 2,70 M2;Departamentos; 120663;La Carolina, Iñaquito, Centro Norte;24/enero/2020;59;1;Proyecto inmobiliario
Amahru;Departamentos; 143869;Colinas Del Pichincha, Rumipamba, Centro Norte;11/febrero/2020;87;2;Proyecto inmobiliario
Vessant;Departamentos; 135000;Cumbaya, Valle Tumbaco;30/septiembre/2019;61;1;Proyecto inmobiliario
Seis;Departamentos; 162578;La Carolina, Iñaquito, Centro Norte;08/abril/2020;85;2;Proyecto inmobiliario
Torre Borealis: Departamentos. Suite Tercer Piso + Bodega Y Parqueadero;Departamentos;;El Bosque, Cochapamba, Centro Norte;19/marzo/2020;47;1;Proyecto inmobiliario
Livorno;Casa; 110000;Puembo, Valle Tumbaco;13/febrero/2020;;3;Proyecto inmobiliario
Edificio Andalucía;Departamentos; 128220;Andalucía, Norte De Quito;12/febrero/2020;88;2;Proyecto inmobiliario
Bronte;Departamentos; 100831;La Carolina, Iñaquito, Centro Norte;28/enero/2020;54;1;Proyecto inmobiliario
Terrazas Sfera II;Departamentos; 151300;Monteserrin, Jipijapa, Centro Norte;30/enero/2020;;2;Proyecto inmobiliario
Bosques De Amaru;Departamentos; 70000;Quitumbe, Sur De Quito;12/marzo/2020;72;3;VIP
Bronte;Oficina / Consultorio; 137331;La Carolina, Iñaquito, Centro Norte;28/enero/2020;;;Proyecto inmobiliario
El Belén Terrenos;Lote; 21250;Cutuglagua, Sur De Quito;12/marzo/2020;;;Proyecto inmobiliario
Parque La Viña;Casa; 412545;Tumbaco, Valle Tumbaco;05/febrero/2020;371;3;Proyecto inmobiliario
Venetto;Departamentos; 155000;Ponceano, Norte De Quito;02/julio/2019;;3;Proyecto inmobiliario
Edificio Andalucía;Local; 67606;Andalucía, Norte De Quito;12/febrero/2020;;;Proyecto inmobiliario
Bronte;Local; 277996;La Carolina, Iñaquito, Centro Norte;28/enero/2020;;;Proyecto inmobiliario
Sense: Departamentos. Suite;Departamentos; 107000;La Carolina, Iñaquito, Centro Norte;14/febrero/2020;55;1;Proyecto inmobiliario
Viña Del Este;Casa; 255142;Tumbaco, Valle Tumbaco;29/enero/2020;234;3;Proyecto inmobiliario
Jardínes De La Colina;Casa; 94900;Conocoto, Valle Los Chillos;09/octubre/2019;105;3;Proyecto inmobiliario
Viña Del Este;Departamentos; 209172;Tumbaco, Valle Tumbaco;29/enero/2020;144;2;Proyecto inmobiliario
Kintu;Casa; 85000;Calderón, Norte De Quito;31/marzo/2020;93;3;VIP
Le Parc.;Departamentos; 150000;Jipijapa, Centro Norte;01/octubre/2019;135;3;Proyecto inmobiliario
Home Nius;Casa; 94900;Mitad Del Mundo, Norte De Quito;18/octubre/2019;113;3;Proyecto inmobiliario
Terra Plus;Departamentos; 92633;El Batan, Iñaquito, Centro Norte;30/agosto/2019;35;1;Proyecto inmobiliario
Huma: Departamentos. Suite Pisos 2 / 3 / 7;Departamentos; 130674;La Carolina, Iñaquito, Centro Norte;13/febrero/2020;;1;Proyecto inmobiliario
Castejón;Departamentos; 226882;Cumbaya, Valle Tumbaco;18/febrero/2020;;2;Proyecto inmobiliario
Dacar;Casa; 53859;Calderón, Norte De Quito;10/octubre/2019;58;2;Proyecto inmobiliario
Gardens Club 3;Casa; 70000;Calderón, Norte De Quito;05/julio/2019;85;3;VIP
Mont Blanc;Departamentos; 54406;Conocoto, Valle Los Chillos;05/julio/2019;65;2;Proyecto inmobiliario
Estrella X;Departamentos; 87932;El Batan, Iñaquito, Centro Norte;10/febrero/2020;52;1;Proyecto inmobiliario
Ílios;Departamentos; 256289;Cumbaya, Valle Tumbaco;17/enero/2020;155;2;Proyecto inmobiliario
